小,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n018.png,xiǎo,"small, tiny, insignificant",3
与,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n019.png,yǔ,"and; with; to; for; give, grant",3
已,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n020.png,yǐ,already; finished; stop,3
工,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n021.png,gōng,"labor, work; worker, laborer",3
三,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n022.png,sān,three,3
己,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n023.png,jǐ,"self, oneself; personal, private; 6th heavenly stem",3
门,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n024.png,mén,"gate, door, entrance, opening",3
及,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n025.png,jí,extend; reach; come up to; and,3
不,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n026.png,bù,"no, not; un-; negative prefix",4
中,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n027.png,zhōng,"central; center, middle; in the midst of; hit (target); attain",4
为,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n028.png,wèi,"do, handle, govern, act; be",4
以,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n029.png,yǐ,"by means of; thereby, therefore; consider as; in order to",4
方,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n030.png,fāng,"a square, rectangle; a region; local",4
天,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n031.png,tiān,"sky, heaven; god, celestial",4
分,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n032.png,fēn,divide; small unit of time etc.,4
心,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n033.png,xīn,"heart; mind, intelligence; soul",4
开,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n034.png,kāi,"open; initiate, begin, start",4
从,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n035.png,cóng,"from, by, since, whence, through",4
日,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n036.png,rì,sun; day; daytime,4
无,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n037.png,wú,"negative, no, not; KangXi radical 71",4
长,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n038.png,zhǎng,long; length; excel in; leader,4
公,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n039.png,gōng,"fair, equitable; public; duke",4
手,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n040.png,shǒu,hand,4
文,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n041.png,wén,"literature, culture, writing",4
见,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n042.png,jiàn,"see, observe, behold; perceive",4
什,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n043.png,shén,"file of ten soldiers; mixed, miscellaneous",4
月,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n044.png,yuè,moon; month; KangXi radical 74,4
内,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n045.png,nèi,inside,4
化,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n046.png,huà,"change, convert, reform; -ize",4
